LATITUDE,LONGITUDE,Category
33.60028,-117.70853999999999,1
33.60028,-117.70853999999999,1
33.60028,-117.70853999999999,1
33.60028,-117.70853999999999,1
33.60028,-117.70853999999999,1
36.389012,-85.320523,1
47.137363,-119.289149,1
47.137363,-119.289149,1
47.137363,-119.289149,1
47.137363,-119.289149,1
47.137363,-119.289149,1
47.137363,-119.289149,1
47.137363,-119.289149,1
47.137363,-119.289149,1
47.137363,-119.289149,1
47.137363,-119.289149,1
47.137363,-119.289149,1
42.887592,-112.438142,1
42.887592,-112.438142,1
42.887592,-112.438142,1
42.887592,-112.438142,1
42.887592,-112.438142,1
42.887592,-112.438142,1
42.887592,-112.438142,1
42.887592,-112.438142,1
42.887592,-112.438142,1
42.887592,-112.438142,1
43.314863,-73.574607,1
43.314863,-73.574607,1
43.314863,-73.574607,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
32.213873,-110.969445,1
